item,energy,protein,total_lipid ,carbohydrate,fiber,sugar,Na,saturated_fatty_acids,trans_fatty_acids,cholesterol
gyoza,188,8.72,4.7,26.85,2,2.68,577,0.67,0,10
sashimi(salmon),159,14.73,9.3,3.1,0.8,1.55,116,2.33,0,39
chicken_quesadilla,150,10.62,5.31,15.04,5.3,0.88,407,2.21,0,18
hamburger,212,3.53,3.53,41.18,3.5,4.71,329,0.59,0,24
scallops,280,8,4,52,2,6,520,0,0,0
chicken_wings,217,18.8,14.2,3.6,0,0,509,3.9,0,109
hot_and_sour_soup,39,2.58,1.21,4.35,0.5,0.42,376,0.229,0,21
seaweed_salad ,67,0,2.78,11.11,4.4,5.56,811,0,0,0
shrimp_and_grits ,147,8.82,8.33,9.8,0.5,1.47,539,3.92,0,49
hot_dog,211,19.3,14.04,1.75,0,0,649,5.26,0,61
chocolate_cake,372,3.85,16.67,51.28,1.3,37.18,282,6.41,0,38
chocolate_mousse,269,1.19,23.81,19.05,2.4,13.1,8,19.05,0,0
huevos_rancheros,119,6.82,6.54,8.76,1.6,2.31,419,1.688,0,161
spaghetti_bolognese,32,0.71,1.07,5,2.9,0.71,200,0.71,0,0
spaghetti_carbonara,400,18,10,58,2,2,940,6,0,30
spring_rolls,190,11.9,7.14,19.05,0,0,679,2.38,0,24
steak,144,11.87,9.12,4.42,0.7,1.67,244,9.12,0,32
lasagna,143,7.52,6.64,12.39,1.3,2.65,323,3.98,0,22
club_sandwich,243,14.04,12.33,20.21,1.4,1.71,651,5.82,0,38
ice_cream,257,4.29,14.29,28.57,1.4,22.86,121,7.14,0,29
clam_chowder,71,2.68,3.12,8.48,0.4,0.4,411,1.79,0,11
hummus,214,10.71,8.93,28.57,7.1,3.57,607,0,0,0
churros,419,6.05,22.21,48.87,2.6,23.38,309,9.247,0,29
cup_cakes,359,2.22,13.33,60,2.2,44.44,311,6.67,0,11
deviled_eggs,286,10.71,25,0,0,0,232,3.57,0,357
donuts,483,3.33,28.33,53.33,1.7,30,333,16.67,0,25
dumplings ,128,5.63,4.23,16.9,2.8,4.23,317,0.7,0,21
edamame,106,10.59,4.71,8.24,4.7,2.35,6,0,0,0
omelette,97,7.93,3.96,4.85,0.4,1.32,256,1.32,0,11
waffles,375,4.69,17.19,51.56,1.6,21.88,344,7.03,0,39
nachos,350,4.32,21.5,34.91,3.2,2.17,313,2.173,0.058,3
tuna_tartare,176.8,14,12.2,3.3,0,0,0,1.8,0,20.7
mussels,82,14.12,2.35,0,0,0,235,1.18,0,47
tiramisu,235,3.53,10.59,31.76,0,21.18,224,7.06,0,71
miso_soup,350,20,10,40,10,20,8000,0,0,0
macarons,467,10,23.33,53.33,3.3,50,80,8.33,0,33
tacos,204,10.62,9.73,22.12,3.5,2.65,372,3.98,0,159
macaroni_and_cheese,171,6.25,10,14.58,0.4,2.5,433,5,0,25
croque_madame,216.3,11,11.4,17.1,0.8,3,0,6,0.2,88.8
creme_brulee,255,3.64,18.18,17.27,0,11.82,45,10,0.45,173
lobster_roll_sandwich,202,12.63,6.57,22.73,1,1.52,460,1.26,0,40
strawberry_shortcake,269,1.92,15.38,30.77,0,21.15,144,5.77,0,19
lobster_bisque,110,2.86,8.59,5.29,0.2,2.2,315,5.07,0.22,34
crab_cakes,212,7.96,5.31,33.63,0.9,1.77,1000,0.88,0,27
Zongzi (sticky rice dumpling with pork),234.8,8.2,8.8,30.7,0.6,0,343,3.2947,0,60.7
scallion_pie ,305,8.3,9.3,46.9,2.4,2.3,257,1.9,75.39,6
pig’s_blood_cake,194,8.6,0.9,37.8,0.9,0,414,0.3,0,24
Chinese_omelet,231,5.7,3.7,43.7,1.3,4.4,291,1.4,0,4
Taiwanese_sausage_with_sticky_rice,158.33,4.31,5.59,0,0.79,0.28,0,0,0,13.22
Pineapple cake,484,4.2,24.4,62,1.7,20.2,59,14.4,214.2,6
Iron Egg,288,26.6,17.5,5.9,0,0,766,6.2,0,741
Slack Season danzai noodles,124,4.4,6.5,11.9,2.5,0,312,2.3,0,10
Milkfish ,179,21.8,9.5,0.2,0,0,41,3.3,0,59
Bubble tea,94,0.2,2.4,17.9,0,8.8,0,0,0,0
Bean curd ,37,3.2,1.9,2.1,0.6,0.5,22,0.3,0,0
ba wan ,149,4.6,7.4,16.7,1.3,0,429,2.9,0,17
Clay oven rolls ,320,9.1,9.1,51.1,1.2,0,458,1.5,0,0
Wheel cake ,174,2.1,1.1,42.3,6.5,12.7,108,0.3,0,10
Beef noodle ,189,11.37,8.41,16.24,0.8,0.26,382,2.68,0,48
Oyster omelet,192,4.9,10.4,19.7,0.5,0.3,479,4.8,95.77,100
Braised pork rice,397,9.5,38,4.2,0,0,4.2,14.2,0,109
FRIED CHICKEN,188,16.47,11.76,4.71,0,0,518,2.94,0,71
red bean soup,328,20.9,0.6,61.5,18.5,0.4,1,0.2,0,0
Chicken or turkey and rice,148,6.46,5.84,16.97,0.2,0.03,353,0.95,0,20
Almond Tea,399,3.5,5.2,84.7,0.7,0,93,1.2,0,0
Fairy grass jelly,19,0.9,0.1,3.7,0.4,4,71,0,0,0
scone,459,3.53,25.88,52.94,2.4,30.59,165,15.29,0,35
aiyu jelly,2,0,0,0.4,0.3,0,13,0,0,0
curry with rice,121,4,1.43,23.14,1.4,0.29,666,0.29,0,0
duck blood cake,193,6.7,1.1,39.1,1.3,0.5,1739,0.5,0,12
Sesame bun,341,7.2,11.7,51.7,0.6,11.4,24,4.4,28.01,9
Sun cake,460,5.3,20.5,63.6,0.4,19,3,8.4,102.2,19
Tempura,176,12.4,4.7,21,0.2,5.2,684,1.2,28.48,20
Migao (sticky rice topped with minced pork),246,6.6,8.6,35.5,1.1,0,299,3.1,0,17
mullet roe,233,36.6,8.5,18.7,0,0,1194,2,0,659
Taro cake,109,2.1,1.6,21.5,1,0.7,242,0.5,14.33,3
Runbing (steamed spring roll),272,5.1,13.9,31.5,2.8,0,449,0,0,0
Steamed buns,248,8.1,1.2,51.3,1.1,0,182,0,0,0
Steamed buns,235,6.8,0.9,50,2.5,9.1,41,0.4,0,0
Misua noodles,350,11.7,1.5,72.4,2.5,2.2,752,0.4,0,0
Pork ribs stewed in medicinal herbs,363,12.5,23.9,24.5,0.4,4.7,14158,15.4,0,12
shaqima,487,5.6,24.8,60.2,1.6,22.8,128,11.6,0,38
Coffin bread (fried toast stuffed with white sauce),264,7,17.5,19.7,1.5,0,299,5.3,0,44
Xiaolongbao (soup dumpling),242,9.6,15.5,15.9,1.2,0,248,5.6,0,2
Steam-fried bun,166,4.3,5.4,25.2,2,2.2,310,1.6,0,8
Wheel pie,187,2.1,1.1,42.3,6.5,12.7,108,0.3,0,10
Steamed bawan (Taiwanese starch-wrapped meatball),136,3.1,1.6,27.3,0.3,2,217,0.6,9.24,8
Tangyuan (glutinous rice ball),352,4.8,16.3,46.7,0.9,9.7,3,6.6,69.29,0
Tangyuan (glutinous rice ball),345,5.2,14.6,48.1,0.6,0,6,6.7,0,0
Peanut Roll with Ice Cream,240,3,15,24,0,17,110,9,0,20
takoyaki,420,20.27,18.14,42.66,1.7,1.15,640,2.564,0,209
Egg & vegetable soup,98,4.12,4.45,12,2.1,3.65,583,0.859,0,0
Guabao (pork belly bun),440,14.95,21.21,51.41,7.9,6.05,429,7.016,0,32
Youfan (Taiwanese sticky rice),427.1,9.7,26.3,0.9,0,0.4,501.7,0.9,26.3,2.7
Grilled corn,150,3.3,8.1,20,2.3,4.3,82,4.4,0.3,18
Grilled squid,293,45,4.1,17,1.8,3.7,1291,1,0,634
Grilled Sausage,283,12,25,2.4,0,0,719,8.5,0,63
steamed sponge cake,199.9,4.9,2.7,39.4,0.5,26.4,103.2,0.8,0,107.7
Black Sugar Cake,257,3.43,1.38,57.63,1.2,21.08,166,0.198,0,0
"Four tonics soup (yam, lotus seeds, Gorgon fruit, poria/Job's tears)",273.8,9.5,3.2,51.6,0,0.6,2,0.5,0,0
Kongroufan (rice with soy-stewed pork),620,11,61,5,1,3,318,23,0,84
